bucket,is_hex_bucket,file_count,total_size_bytes,total_size_gib,zero_byte_files,small_1kb_or_less,large_1mb_or_more,large_100mb_or_more,category_counts,magic_counts
39,True,84,29518848,0.0275,0,22,4,0,"{""snapshot_file"": 84}","{""binary_or_unknown"": 83, ""json_like"": 1}"
3a,True,80,7446928,0.0069,0,33,1,0,"{""snapshot_file"": 80}","{""binary_or_unknown"": 78, ""json_like"": 2}"
3b,True,67,23701792,0.0221,0,31,4,0,"{""snapshot_file"": 67}","{""binary_or_unknown"": 66, ""json_like"": 1}"
3c,True,83,9342688,0.0087,0,39,3,0,"{""snapshot_file"": 83}","{""binary_or_unknown"": 83}"
3d,True,71,339392288,0.3161,0,21,7,1,"{""snapshot_file"": 71}","{""binary_or_unknown"": 70, ""json_like"": 1}"
3e,True,84,8850032,0.0082,0,38,1,0,"{""snapshot_file"": 84}","{""binary_or_unknown"": 83, ""json_like"": 1}"
3f,True,82,704489088,0.6561,0,22,5,2,"{""snapshot_file"": 82}","{""binary_or_unknown"": 82}"
40,True,68,4833136,0.0045,0,28,0,0,"{""snapshot_file"": 68}","{""binary_or_unknown"": 68}"
41,True,75,315460656,0.2938,0,25,3,1,"{""snapshot_file"": 75}","{""binary_or_unknown"": 75}"
42,True,74,315094512,0.2935,0,30,1,1,"{""snapshot_file"": 74}","{""binary_or_unknown"": 73, ""json_like"": 1}"
43,True,85,350066816,0.326,0,29,4,1,"{""snapshot_file"": 85}","{""binary_or_unknown"": 85}"
44,True,62,14909216,0.0139,0,25,2,0,"{""snapshot_file"": 62}","{""binary_or_unknown"": 60, ""json_like"": 2}"
45,True,97,17572784,0.0164,0,38,4,0,"{""snapshot_file"": 97}","{""binary_or_unknown"": 97}"
46,True,80,26464784,0.0246,0,36,6,0,"{""snapshot_file"": 80}","{""binary_or_unknown"": 79, ""json_like"": 1}"
47,True,72,645807664,0.6015,0,31,3,2,"{""snapshot_file"": 72}","{""binary_or_unknown"": 71, ""json_like"": 1}"
48,True,73,331788368,0.309,0,25,2,1,"{""snapshot_file"": 73}","{""binary_or_unknown"": 73}"
49,True,90,313195648,0.2917,0,36,7,1,"{""snapshot_file"": 90}","{""binary_or_unknown"": 88, ""json_like"": 2}"
4a,True,68,19561696,0.0182,0,28,4,0,"{""snapshot_file"": 68}","{""binary_or_unknown"": 68}"
4b,True,73,19131136,0.0178,0,32,4,0,"{""snapshot_file"": 73}","{""binary_or_unknown"": 73}"
4c,True,90,25631328,0.0239,0,34,4,0,"{""snapshot_file"": 90}","{""binary_or_unknown"": 90}"
4d,True,90,8848096,0.0082,0,36,1,0,"{""snapshot_file"": 90}","{""binary_or_unknown"": 88, ""json_like"": 2}"
4e,True,74,335528784,0.3125,0,32,1,1,"{""snapshot_file"": 74}","{""binary_or_unknown"": 73, ""json_like"": 1}"
4f,True,73,15019392,0.014,0,34,4,0,"{""snapshot_file"": 73}","{""binary_or_unknown"": 71, ""json_like"": 2}"
50,True,65,13861296,0.0129,0,30,3,0,"{""snapshot_file"": 65}","{""binary_or_unknown"": 64, ""json_like"": 1}"
51,True,73,306273856,0.2852,0,31,3,1,"{""snapshot_file"": 73}","{""binary_or_unknown"": 73}"
52,True,83,321730608,0.2996,0,28,5,1,"{""snapshot_file"": 83}","{""binary_or_unknown"": 81, ""json_like"": 2}"
